"","hhmm","LocationNumber","MeterIdentifier","Uom","mean","median","min","max","total","std","scaled_mean","n","scaled_value_max","scaled_value_sd"
"1","00:15",11280,200065,"KWH",0.377451612903226,0.316,0.1205,1.197,11.701,0.25746903874831,0.129530409369673,31,0.00223269076559884,1.46600777607364
"2","00:30",11280,200065,"KWH",0.421354838709677,0.302,0.118,2.356,13.062,0.414425107700382,0.144596718843403,31,0.00249238584567575,1.01672131075202
"3","00:45",11280,200065,"KWH",0.37741935483871,0.3005,0.118,1.365,11.7,0.295087814522338,0.129519339340669,31,0.00223249995363699,1.27900691341539
"4","01:00",11280,200065,"KWH",0.332870967741935,0.292,0.114,1.2045,10.319,0.227772473012798,0.114231629286869,31,0.00196898863432308,1.46141877171976
"5","01:15",11280,200065,"KWH",0.338532258064516,0.2915,0.1135,0.7755,10.4945,0.185943716192287,0.116174419376979,31,0.00200247613362764,1.82061682425684
"6","01:30",11280,200065,"KWH",0.269064516129032,0.238,0.1025,0.6845,8.341,0.13097561744688,0.0923351119179932,31,0.00159156257378514,2.05430996527394
"7","01:45",11280,200065,"KWH",0.293112903225806,0.2515,0.0965,0.827,9.0865,0.165210305856779,0.100587818540085,31,0.0017338128913438,1.77418050106334
"8","02:00",11280,200065,"KWH",0.305935483870968,0.2325,0.106,1.576,9.484,0.274738564879884,0.104988155068966,31,0.0018096606461789,1.11355129195176
"9","02:15",11280,200065,"KWH",0.286903225806452,0.218,0.0925,1.731,8.894,0.290386909121688,0.0984568379569154,31,0.00169708158868781,0.988003304536789
"10","02:30",11280,200065,"KWH",0.245467741935484,0.2135,0.098,0.926,7.6095,0.153726105757603,0.0842373857019505,31,0.00145198362369236,1.59678631502277
"11","02:45",11280,200065,"KWH",0.27541935483871,0.2425,0.0915,0.802,8.538,0.166083618335975,0.094515907631678,31,0.00162915253026945,1.6583174041979
"12","03:00",11280,200065,"KWH",0.24991935483871,0.187,0.097,0.726,7.7475,0.154214142065192,0.0857650497044302,31,0.00147831567442757,1.62059945665074
"13","03:15",11280,200065,"KWH",0.289387096774194,0.218,0.093,0.912,8.971,0.200239802473493,0.0993092301901831,31,0.00171177410975021,1.44520266799854
"14","03:30",11280,200065,"KWH",0.21558064516129,0.193,0.091,0.396,6.683,0.0841177841654381,0.07398100383023,31,0.00127519634103897,2.56284265331215
"15","03:45",11280,200065,"KWH",0.223854838709677,0.2,0.0915,0.714,6.9395,0.114371776351539,0.0768204662696216,31,0.00132413960925332,1.95725594067566
"16","04:00",11280,200065,"KWH",0.234516129032258,0.1985,0.117,0.685,7.27,0.125452413545998,0.0804791108552704,31,0.00138720296264452,1.86936323027592
"17","04:15",11280,200065,"KWH",0.236064516129032,0.209,0.1055,0.7145,7.318,0.121069039665768,0.0810104722474373,31,0.00139636193681329,1.94983388635714
"18","04:30",11280,200065,"KWH",0.277725806451613,0.216,0.1255,1.513,8.6095,0.248708827035072,0.0953074147054265,31,0.00164279558554168,1.11667048476912
"19","04:45",11280,200065,"KWH",0.301677419354839,0.2265,0.1295,1.5855,9.352,0.272409237128843,0.103526911240507,31,0.00178447346721479,1.10744195951091
"20","05:00",11280,200065,"KWH",0.267225806451613,0.201,0.1085,1.4105,8.284,0.23963788093391,0.0917041202647951,31,0.00158068629195973,1.11512339121924
"21","05:15",11280,200065,"KWH",0.237467741935484,0.1895,0.0975,0.6275,7.3615,0.114796844866912,0.0814920185090885,31,0.00140466225715373,2.06859119003478
"22","05:30",11280,200065,"KWH",0.291951612903226,0.234,0.121,0.8245,9.0505,0.171699755136629,0.100189297495959,31,0.00172694366071723,1.70036126534314
"23","05:45",11280,200065,"KWH",0.228387096774194,0.1995,0.113,0.439,7.08,0.0914672718952358,0.07837580534461,31,0.00135094868989315,2.49692695586004
"24","06:00",11280,200065,"KWH",0.276661290322581,0.1875,0.1095,0.825,8.5765,0.184432209185235,0.0949421037483118,31,0.00163649879080065,1.50007035942792
"25","06:15",11280,200065,"KWH",0.236016129032258,0.195,0.091,0.767,7.3165,0.153024425276434,0.0809938672039321,31,0.00139607571887051,1.54234285543568
"26","06:30",11280,200065,"KWH",0.205870967741935,0.209,0.084,0.4655,6.382,0.0886639693582776,0.0706489251001838,31,0.00121776194052233,2.32192365435437
"27","06:45",11280,200065,"KWH",0.22908064516129,0.2025,0.096,0.7025,7.1015,0.122661057170712,0.0786138109681847,31,0.00135505114707291,1.86759066361601
